TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Interaction,Details
0.4422175,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
0.4866615,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
0.5311054,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
0.5866604,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
0.6199933,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
0.6533263,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
0.6866593,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
0.7199922,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
0.7533252,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
0.7866582,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
0.8199911,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
0.8422131,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
0.886657,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
0.908879,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
0.942212,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
0.9755449,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.008878,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.0311,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.075544,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.097766,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.14221,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.164432,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.208876,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.242209,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.319986,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.353318,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.397762,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.419984,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.464428,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.497761,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.531094,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.564427,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.586649,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.619982,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.664426,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.719981,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.753314,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.786647,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.81998,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.853313,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.875535,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.908868,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.93109,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.964423,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
1.997756,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.031089,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.053311,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.086644,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.119977,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.15331,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.186643,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.208864,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.242198,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.275531,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.297752,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.586638,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.619971,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.653304,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.675526,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.708859,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.742192,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.764414,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.797747,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.819969,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.853302,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.886635,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.908857,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.94219,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
2.975523,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.008856,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.031078,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.064411,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.086632,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.119966,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.153298,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.186631,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.219965,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.253297,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.275519,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.308852,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.342185,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.364407,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.39774,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.431073,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.453295,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
3.486628,1,Training,4,Floor,Shelves,Foot Interaction,Right Sliding MIN1
