TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,TaskboardPosition.x,TaskboardPosition.y,TaskboardPosition.z,TaskboardRotation.x,TaskboardRotation.y,TaskboardRotation.z,Landmark1Name,Landmark2Name,Landmark3Name,Landmark4Name,Landmark5Name,Landmark6Name,Landmark1Position.x,Landmark1Position.y,Landmark1Position.z,Landmark2Position.x,Landmark2Position.y,Landmark2Position.z,Landmark3Position.x,Landmark3Position.y,Landmark3Position.z,Landmark4Position.x,Landmark4Position.y,Landmark4Position.z,Landmark5Position.x,Landmark5Position.y,Landmark5Position.z,Landmark6Position.x,Landmark6Position.y,Landmark6Position.z,Landmark1Rotation.x,Landmark1Rotation.y,Landmark1Rotation.z,Landmark2Rotation.x,Landmark2Rotation.y,Landmark2Rotation.z,Landmark3Rotation.x,Landmark3Rotation.y,Landmark3Rotation.z,Landmark4Rotation.x,Landmark4Rotation.y,Landmark4Rotation.z,Landmark5Rotation.x,Landmark5Rotation.y,Landmark5Rotation.z,Landmark6Rotation.x,Landmark6Rotation.y,Landmark6Rotation.z,Landmark1State,Landmark2State,Landmark3State,Landmark4State,Landmark5State,Landmark6State
0,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,,,,
0.02,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2891845,0.025,0.7401643,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,highlighted,highlighted,,,,highlighted
0.3533296,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2891845,0.025,0.7401643,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,highlighted,highlighted,,,,highlighted
0.4422175,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2891845,0.025,0.7401643,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,highlighted,,,highlighted,,highlighted
0.4866615,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2862608,0.02289962,0.7430252,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,89.43456,32.72047,31.76624,90,0,0,90,0,0,highlighted,,,moving,,highlighted
0.5311054,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2861696,0.02510442,0.7430996,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,89.96043,0.9467952,0,90,0,0,90,0,0,highlighted,,,moving,,highlighted
0.5866604,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2857021,0.02638661,0.7435745,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,89.76344,261.965,260.777,90,0,0,90,0,0,highlighted,,,moving,,highlighted
0.6199933,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2857215,0.02605265,0.7433991,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,89.81233,234.2124,233.0183,90,0,0,90,0,0,highlighted,,,moving,,highlighted
0.6533263,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2857524,0.02490188,0.7434267,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,89.94405,1.267817,0,90,0,0,90,0,0,highlighted,,,moving,,highlighted
0.6866593,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2857414,0.02611388,0.7434626,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,89.65226,260.9357,259.7401,90,0,0,90,0,0,highlighted,,,moving,,highlighted
0.7199922,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2857414,0.02500002,0.7434626,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,90,1.195604,0,90,0,0,90,0,0,highlighted,,,moving,,highlighted
0.7533252,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2883445,0.02842758,0.7409241,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,89.17315,219.4552,219.1391,90,0,0,90,0,0,highlighted,,,moving,,highlighted
0.7866582,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2884785,0.02410755,0.7406753,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,89.77531,62.77953,62.48143,90,0,0,90,0,0,highlighted,,,moving,,highlighted
0.8199911,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2887626,0.02416101,0.7403873,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,89.84805,31.41411,31.21178,90,0,0,90,0,0,highlighted,,,moving,,highlighted
0.8422131,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2890081,0.02447072,0.740167,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,89.80617,99.2915,99.1325,90,0,0,90,0,0,highlighted,,,moving,,highlighted
0.886657,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2890133,0.02512013,0.7401589,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,89.89532,0.06306722,0,90,0,0,90,0,0,highlighted,,,moving,,highlighted
0.908879,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.288976,0.02500995,0.7401878,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,89.8673,121.0866,120.9711,90,0,0,90,0,0,highlighted,,,moving,,highlighted
0.942212,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2889512,0.02514393,0.7401627,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,89.98022,0.1199424,0,90,0,0,90,0,0,highlighted,,,moving,,highlighted
0.9755449,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2888668,0.02517341,0.7402711,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,89.93745,0.07455818,0,90,0,0,90,0,0,highlighted,,,moving,,highlighted
1.008878,1,Training,4,Floor,Shelves,0,0.03,0,0,0,0,MIN2,MIN3,MAX2,MIN1,MAX1,MAX3,0.249572,0.025,0.07432613,-0.101891,0.025,-0.06435533,0.6603819,0.025,-0.23101,0.2886449,0.025809,0.7404355,-0.7204489,0.025,-0.02988535,-0.1892772,0.025,0.2706464,90,0,0,90,0,0,90,0,0,89.82087,256.9854,256.8516,90,0,0,90,0,0,highlighted,,,moving,,highlighted
