TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,TaskboardPosition.x,TaskboardPosition.y,TaskboardPosition.z,TaskboardRotation.x,TaskboardRotation.y,TaskboardRotation.z,Landmark1Name,Landmark2Name,Landmark3Name,Landmark4Name,Landmark5Name,Landmark6Name,Landmark1Position.x,Landmark1Position.y,Landmark1Position.z,Landmark2Position.x,Landmark2Position.y,Landmark2Position.z,Landmark3Position.x,Landmark3Position.y,Landmark3Position.z,Landmark4Position.x,Landmark4Position.y,Landmark4Position.z,Landmark5Position.x,Landmark5Position.y,Landmark5Position.z,Landmark6Position.x,Landmark6Position.y,Landmark6Position.z,Landmark1Rotation.x,Landmark1Rotation.y,Landmark1Rotation.z,Landmark2Rotation.x,Landmark2Rotation.y,Landmark2Rotation.z,Landmark3Rotation.x,Landmark3Rotation.y,Landmark3Rotation.z,Landmark4Rotation.x,Landmark4Rotation.y,Landmark4Rotation.z,Landmark5Rotation.x,Landmark5Rotation.y,Landmark5Rotation.z,Landmark6Rotation.x,Landmark6Rotation.y,Landmark6Rotation.z,Landmark1State,Landmark2State,Landmark3State,Landmark4State,Landmark5State,Landmark6State
0,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,,,,
0.02,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MAX2,MIN1,MIN2,MAX1,MAX3,0.8090489,0.9996129,0.4235941,0.2497413,0.9986941,0.418383,-0.4333734,1.039783,0.6514078,0.4961464,1.039958,0.6524,-0.003397524,0.9920328,0.380605,0.593557,0.9878049,0.3566279,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,,highlighted,highlighted
0.34,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MAX2,MIN1,MIN2,MAX1,MAX3,0.7831595,0.9487096,0.4527417,0.2417495,0.9479595,0.4475306,-0.4195056,0.9814769,0.6805559,0.4802696,0.9816194,0.6815481,-0.003288802,0.9425256,0.4097526,0.5745636,0.939077,0.3857755,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,,highlighted,highlighted
0.42,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MAX2,MIN1,MIN2,MAX1,MAX3,0.7766871,0.9359838,0.4600286,0.2397515,0.9352759,0.4548175,-0.4160386,0.9655825,0.6803687,0.4763004,0.9655429,0.6803743,-0.003261621,0.9301488,0.4170395,0.5698153,0.926895,0.3930624,79.99997,0,0,79.99997,0,0,80.00003,0,0,80.00003,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,,highlighted,highlighted
0.46,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MAX2,MIN1,MIN2,MAX1,MAX3,0.773451,0.9296209,0.4636721,0.2387526,0.9289341,0.458461,-0.4143051,0.9577517,0.6809347,0.4743159,0.9577082,0.6809412,-0.003248031,0.9239604,0.420683,0.5674411,0.920804,0.3967059,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,,highlighted,highlighted
0.5,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MAX2,MIN1,MIN2,MAX1,MAX3,0.7702148,0.9232579,0.4673155,0.2377536,0.9225923,0.4621044,-0.4125716,0.9500807,0.6824074,0.4723313,0.9500332,0.6824145,-0.00323444,0.9177721,0.4243264,0.5650669,0.914713,0.4003493,79.99997,0,0,79.99997,0,0,80.00003,0,0,80.00003,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,,highlighted,highlighted
0.52,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MAX2,MIN1,MIN2,MAX1,MAX3,0.7685967,0.9200765,0.4691373,0.2372541,0.9194214,0.4639262,-0.4117049,0.9462559,0.6832047,0.471339,0.9462065,0.6832121,-0.003227645,0.9146779,0.4261482,0.5638798,0.9116675,0.402171,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,,highlighted,highlighted
0.54,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MAX2,MIN1,MIN2,MAX1,MAX3,0.7669786,0.916895,0.470959,0.2367546,0.9162505,0.4657479,-0.4108382,0.9424052,0.6838546,0.4703467,0.9423538,0.6838624,-0.00322085,0.9115837,0.4279699,0.5626928,0.908622,0.4039928,79.99997,0,0,79.99997,0,0,80.00003,0,0,80.00003,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,,highlighted,highlighted
0.58,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MAX2,MIN1,MIN2,MAX1,MAX3,0.7637424,0.9105321,0.4746024,0.2357557,0.9099087,0.4693913,-0.4091047,0.9349335,0.6864576,0.4683621,0.9348781,0.6864657,-0.00320726,0.9053953,0.4316134,0.5603186,0.902531,0.4076362,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,,highlighted,highlighted
0.6,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MAX2,MIN1,MIN2,MAX1,MAX3,0.7621244,0.9073507,0.4764242,0.2352562,0.9067377,0.4712131,-0.4082379,0.931019,0.6867455,0.4673698,0.9309616,0.6867541,-0.003200465,0.9023011,0.4334351,0.5591315,0.8994855,0.409458,79.99997,0,0,79.99997,0,0,80.00003,0,0,80.00003,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,,highlighted,highlighted
