1. Which real estate agent sold the most expensive houses?&2. How about the least expensive?
1. In which suburb is the most expensive house located?&2. What was the year the most expensive house was built in?
1. What is the trend for land size over time?&2. What is the trend for number of bedrooms over time?
How are the locations of new building sites changing over time? (in relation to compass directions)
1. Which real estate agent sold the most expensive houses?&2. How about the least expensive?
1. In which suburb is the most expensive house located?&2. What was the year the most expensive house was built in?
1. What is the trend for land size over time?&2. What is the trend for number of bedrooms over time?
How are the locations of new building sites changing over time? (in relation to compass directions)
1. Which real estate agent sold the most expensive houses?&2. How about the least expensive?
1. In which suburb is the most expensive house located?&2. What was the year the most expensive house was built in?
1. What is the trend for land size over time?&2. What is the trend for number of bedrooms over time?
How are the locations of new building sites changing over time? (in relation to compass directions)
1. Which real estate agent sold the most expensive houses?&2. How about the least expensive?
1. In which suburb is the most expensive house located?&2. What was the year the most expensive house was built in?
1. What is the trend for land size over time?&2. What is the trend for number of bedrooms over time?
How are the locations of new building sites changing over time? (in relation to compass directions)
