TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,TaskboardPosition.x,TaskboardPosition.y,TaskboardPosition.z,TaskboardRotation.x,TaskboardRotation.y,TaskboardRotation.z,Landmark1Name,Landmark2Name,Landmark3Name,Landmark4Name,Landmark5Name,Landmark6Name,Landmark1Position.x,Landmark1Position.y,Landmark1Position.z,Landmark2Position.x,Landmark2Position.y,Landmark2Position.z,Landmark3Position.x,Landmark3Position.y,Landmark3Position.z,Landmark4Position.x,Landmark4Position.y,Landmark4Position.z,Landmark5Position.x,Landmark5Position.y,Landmark5Position.z,Landmark6Position.x,Landmark6Position.y,Landmark6Position.z,Landmark1Rotation.x,Landmark1Rotation.y,Landmark1Rotation.z,Landmark2Rotation.x,Landmark2Rotation.y,Landmark2Rotation.z,Landmark3Rotation.x,Landmark3Rotation.y,Landmark3Rotation.z,Landmark4Rotation.x,Landmark4Rotation.y,Landmark4Rotation.z,Landmark5Rotation.x,Landmark5Rotation.y,Landmark5Rotation.z,Landmark6Rotation.x,Landmark6Rotation.y,Landmark6Rotation.z,Landmark1State,Landmark2State,Landmark3State,Landmark4State,Landmark5State,Landmark6State
1.642186,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.458929,0.8737445,0.6311624,-0.1066872,0.8347335,0.4099202,-0.6832659,0.8372824,0.4243755,0.289996,0.878782,0.659731,0.6264203,0.8758383,0.6430366,0.09521963,0.8414792,0.4481766,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
1.708851,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.458929,0.8737445,0.6311624,-0.1066872,0.8347335,0.4099202,-0.6832659,0.8372824,0.4243755,0.289996,0.878782,0.659731,0.6264203,0.8758383,0.6430366,0.09521963,0.8414792,0.4481766,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
1.797738,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.458929,0.8737445,0.6311624,-0.1066872,0.8347335,0.4099202,-0.6832659,0.8372824,0.4243755,0.289996,0.878782,0.659731,0.6264203,0.8758383,0.6430366,0.09521963,0.8414792,0.4481766,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
1.919958,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.458929,0.8737445,0.6311624,-0.1066872,0.8347335,0.4099202,-0.6832659,0.8372824,0.4243755,0.289996,0.878782,0.659731,0.6264203,0.8758383,0.6430366,0.09521963,0.8414792,0.4481766,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
1.975512,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.458929,0.8737445,0.6311624,-0.1066872,0.8347335,0.4099202,-0.6832659,0.8372824,0.4243755,0.289996,0.878782,0.659731,0.6264203,0.8758383,0.6430366,0.09521963,0.8414792,0.4481766,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
2.019956,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.458929,0.8737445,0.6311624,-0.1066872,0.8347335,0.4099202,-0.6832659,0.8372824,0.4243755,0.289996,0.878782,0.659731,0.6264203,0.8758383,0.6430366,0.09521963,0.8414792,0.4481766,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
2.064399,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.458929,0.8737445,0.6311624,-0.1066872,0.8347335,0.4099202,-0.6832659,0.8372824,0.4243755,0.289996,0.878782,0.659731,0.6264203,0.8758383,0.6430366,0.09521963,0.8414792,0.4481766,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
2.097732,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.458929,0.8737445,0.6311624,-0.1066872,0.8347335,0.4099202,-0.6832659,0.8372824,0.4243755,0.289996,0.878782,0.659731,0.6264203,0.8758383,0.6430366,0.09521963,0.8414792,0.4481766,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
2.142175,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.458929,0.8737445,0.6311624,-0.1066872,0.8347335,0.4099202,-0.6832659,0.8372824,0.4243755,0.289996,0.878782,0.659731,0.6264203,0.8758383,0.6430366,0.09521963,0.8414792,0.4481766,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
2.175508,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.458929,0.8737445,0.6311624,-0.1066872,0.8347335,0.4099202,-0.6832659,0.8372824,0.4243755,0.289996,0.878782,0.659731,0.6264203,0.8758383,0.6430366,0.09521963,0.8414792,0.4481766,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
