TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Landmark1Name,Landmark2Name,Landmark3Name,Landmark4Name,Landmark5Name,Landmark6Name,Landmark1Pos,Landmark2Pos,Landmark3Pos,Landmark4Pos,Landmark5Pos,Landmark6Pos,Landmark1Rot,Landmark2Rot,Landmark3Rot,Landmark4Rot,Landmark5Rot,Landmark6Rot,Landmark1State,Landmark2State,Landmark3State,Landmark4State,Landmark5State,Landmark6State
0,1,Training,5,Shelves,Shelves,,,,
0.72,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.6191519;0.9044182;0.6408741),(0.768099;0.9092268;0.6908081),(0.6814952;0.8735944;0.3479965),(0.00505127;0.9092091;0.6908406),(-0.8225396;0.8848594;0.4550319),(-0.04906465;0.8768528;0.3789575),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
0.76,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.6164889;0.8974317;0.6445176),(0.7647954;0.9017133;0.6927585),(0.6785641;0.8677975;0.35164),(0.005029544;0.9016926;0.6927814),(-0.8190019;0.8786277;0.4586753),(-0.04885362;0.8709301;0.382601),(79.99997;0;0),(80.00003;0;0),(79.99997;0;0),(80.00003;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
0.78,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.6151574;0.8939385;0.6463394),(0.7631435;0.8978457;0.6931047),(0.6770985;0.864899;0.3534617),(0.005018681;0.8978235;0.6931227),(-0.817233;0.8755119;0.4604971),(-0.04874811;0.8679687;0.3844227),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
0.92,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.6124943;0.8773613;0.651674),(0.7614917;0.8850142;0.6950759),(0.6668396;0.8446099;0.3662138),(0.005007818;0.885016;0.6950858),(-0.8066196;0.8459178;0.4733492),(-0.0480095;0.8472394;0.3971748),(79.99997;0;0),(79.99999;0;0),(79.99997;0;0),(79.99999;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.04,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.08,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.1,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.14,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.16,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.18,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.22,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
